# VELOCITY:     AVE_POFV:        ERROR:
     7.86667           0           0
    0.133333     0.20405   0.0676934
         0.4     2.75745    0.251685
    0.666667     5.73005    0.276554
    0.933333     9.11575    0.566315
         1.2     13.4277    0.422129
     1.46667     14.3105    0.635177
     1.73333      14.979    0.393391
           2     12.3483    0.526422
     2.26667     10.2147    0.404851
     2.53333     8.89445    0.449032
         2.8     6.63015    0.284186
     3.06667     3.90095     0.22601
     3.33333      2.3834    0.278797
         3.6     1.61905    0.132854
     3.86667     0.69825    0.107376
     4.13333     0.28475   0.0779167
         4.4     0.46035   0.0950296
     4.66667      0.0412    0.019562
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
